Country Name,region,Image URL,1/3/2020,2/3/2020,3/3/2020,4/3/2020,5/3/2020,6/3/2020,7/3/2020,8/3/2020,9/3/2020,10/3/2020,11/3/2020,12/3/2020,13/3/2020,14/3/2020,15/3/2020,16/3/2020,17/3/2020,18/3/2020,19/3/2020,20/3/2020,21/3/2020,22/3/2020,23/3/2020,24/3/2020,25/3/2020,26/3/2020,27/3/2020,28/3/2020,29/3/2020,30/3/2020,31/3/2020,1/4/2020,2/4/2020,3/4/2020,4/4/2020,5/4/2020,6/4/2020,7/4/2020,8/4/2020,9/4/2020,10/4/2020,11/4/2020,12/4/2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,1/5/2020,2/5/2020,3/5/2020,4/5/2020,5/5/2020,6/5/2020,7/5/2020,8/5/2020,9/5/2020,10/5/2020,11/5/2020,12/5/2020,13/5/2020,14/5/2020,15/5/2020,16/5/2020,17/5/2020,18/5/2020,19/5/2020,20/5/2020,21/5/2020,22/5/2020,23/5/2020,24/5/2020,25/5/2020,26/5/2020,27/5/2020,28/5/2020,29/5/2020,30/5/2020,31-05-2020,1/6/2020,2/6/2020,3/6/2020,4/6/2020,5/6/2020,6/6/2020,7/6/2020,8/6/2020,9/6/2020,10/6/2020,11/6/2020,12/6/2020,13/6/2020,14/6/2020,15/6/2020,16/6/2020,17/6/2020,18/6/2020,19/6/2020,20/6/2020,21/6/2020,22/6/2020,23/6/2020,24/6/2020,25/6/2020,26/6/2020,27/6/2020,28/6/2020,29/6/2020,30/6/2020,1/7/2020,2/7/2020,3/7/2020,4/7/2020,5/7/2020,6/7/2020,7/7/2020,8/7/2020,9/7/2020,10/7/2020,11/7/2020,12/7/2020,13/7/2020,14/7/2020,15/7/2020,16/7/2020,17/7/2020,18/7/2020,19/7/2020,20/7/2020,21/7/2020,22/7/2020,23/7/2020,24/7/2020,25/7/2020,26/7/2020,27/7/2020,28/7/2020,29/7/2020,30/7/2020,31/7/2020,1/8/2020,2/8/2020,3/8/2020,4/8/2020,5/8/2020,6/8/2020,7/8/2020,8/8/2020,9/8/2020,10/8/2020,11/8/2020,12/8/2020,13/8/2020,14/8/2020,15/8/2020,16/8/2020,17/8/2020,18/8/2020,19/8/2020,20/8/2020,21/8/2020,22/8/2020,23/8/2020,24/8/2020,25/8/2020,26/8/2020,27/8/2020,28/8/2020,29/8/2020,30/8/2020,31/8/2020,1/9/2020,2/9/2020,3/9/2020,4/9/2020,5/9/2020,6/9/2020,7/9/2020,8/9/2020,9/9/2020,10/9/2020,12/9/2020,13/9/2020,14/9/2020,15/9/2020,16/9/2020,17/9/2020,19/9/2020,20/9/2020,22/9/2020,23/9/2020,24/9/2020,25/9/2020,26/9/2020,28/9/2020,29/9/2020,30/9/2020,1/10/2020,3/10/2020,5/10/2020,7/10/2020,9/10/2020,10/10/2020,12/10/2020,16/10/2020,18/10/2020,19/10/2020,20/10/2020
Tunis,Tunisia,,0,0,0,0,0,0,0,0,1,1,1,5,6,6,7,9,10,14,17,15,22,29,32,47,52,55,69,79,92,94,104,105,112,131,135,139,144,147,152,159,159,167,173,174,187,193,193,193,193,193,195,198,199,199,202,205,209,211,211,223,223,228,228,229,231,232,232,232,232,232,232,232,232,232,233,233,233,233,233,233,233,234,235,235,235,235,235,235,235,235,236,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,240,240,241,241,241,241,242,242,242,242,242,242,242,242,242,242,242,242,242,243,243,243,243,245,246,248,248,249,249,250,255,257,257,262,262,264,264,265,265,269,275,277,278,288,288,289,290,292,295,295,296,297,297,297,297,299,299,301,301,303,306,307,314,316,336,342,348,357,379,389,406,413,429,459,476,491,516,546,581,612,622,712,740,828,883,1030,1081,1164,1297,1387,1520,,,,,,,,,,,,,,,,,,,,,
Ariana,Tunisia,,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,6,9,13,16,15,16,22,31,33,34,35,44,50,56,57,60,67,69,72,77,76,77,78,81,82,83,83,84,83,89,89,89,89,89,93,93,94,94,94,95,95,96,97,97,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,103,103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,106,106,106,106,106,106,106,106,107,109,110,111,111,111,111,112,112,112,112,112,117,117,119,119,120,121,123,126,130,130,130,133,134,135,135,141,143,143,145,149,153,154,156,162,162,164,166,166,167,167,174,174,182,195,204,209,226,234,235,242,253,281,291,303,336,340,352,369,381,395,422,433,451,489,510,533,,,,,,,,,,,,,,,,,,,,,
Ben Arous,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,8,12,17,17,23,26,29,34,41,43,45,49,54,56,57,61,62,63,65,66,71,74,79,81,81,87,87,87,87,91,91,91,91,92,92,93,93,94,94,94,96,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,100,99,100,100,99,99,99,99,99,99,99,99,99,99,99,100,100,100,100,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,103,104,104,105,105,105,105,105,106,123,125,126,126,126,130,132,132,132,125,128,129,129,130,131,132,133,136,140,140,140,140,141,142,146,146,146,146,146,146,147,153,153,154,155,156,156,157,158,167,170,172,172,226,235,239,264,282,288,311,354,429,454,475,510,556,558,562,805,835,864,954,963,1036,1070,1117,1183,,,,,,,,,,,,,,,,,,,,,
Manouba,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,6,9,8,8,9,10,10,16,16,20,31,32,32,32,34,35,35,35,36,36,37,37,38,38,38,39,39,39,39,39,39,39,39,39,40,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,46,46,46,46,48,48,48,48,48,48,48,49,49,50,50,54,55,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,59,63,63,63,63,64,64,64,66,66,66,73,73,73,86,86,91,106,112,116,136,138,156,173,179,218,,,,,,,,,,,,,,,,,,,,,
Nabeul,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,6,8,10,10,10,11,11,11,11,11,11,12,12,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,21,21,21,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,27,32,32,32,32,32,32,33,34,34,35,36,37,37,39,39,40,40,43,44,44,44,44,44,47,48,48,48,48,48,48,50,50,51,51,51,51,51,51,51,51,54,55,55,56,58,60,72,74,84,84,86,91,98,99,111,128,129,142,174,198,213,265,269,313,351,388,423,,,,,,,,,,,,,,,,,,,,,
Zaghouan,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,12,13,13,14,15,16,16,26,43,48,48,83,91,,,,,,,,,,,,,,,,,,,,,
Bizerte,Tunisia,,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,0,2,2,3,4,4,11,11,12,12,13,15,15,15,15,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19,21,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,34,34,34,34,34,35,35,35,35,35,35,35,36,36,36,36,37,37,38,38,38,38,38,38,40,40,40,40,40,40,40,40,40,40,40,40,40,41,42,42,44,44,44,44,44,44,47,48,48,51,51,53,58,59,60,65,65,94,94,96,118,132,132,144,173,199,231,,,,,,,,,,,,,,,,,,,,,
Beja,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,11,11,11,10,10,11,11,11,11,11,11,11,11,14,14,15,15,16,16,16,16,16,17,17,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,21,21,21,22,22,27,27,28,28,28,28,28,49,52,67,67,77,77,,,,,,,,,,,,,,,,,,,,,
Jendouba,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,7,7,7,8,8,8,9,9,9,9,9,12,13,14,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,16,19,19,20,20,20,25,25,25,27,31,36,38,39,41,53,54,56,58,58,61,92,92,101,110,110,110,129,129,131,155,160,172,,,,,,,,,,,,,,,,,,,,,
Kef,Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,15,16,16,18,18,18,18,18,21,21,22,22,27,27,27,27,27,27,28,30,30,30,31,31,31,31,32,32,32,34,34,44,62,64,77,121,121,121,147,176,181,196,203,224,228,236,251,257,277,285,289,289,306,315,330,340,360,360,378,387,407,461,,,,,,,,,,,,,,,,,,,,,
